-1	D_
0	*
-1	D_RLE
0	Багдадское
1	Ом
2	СССР
3	абитуриент
4	абсолютный
5	абсорбция
6	авансовый
7	аварийный
8	авиационный
9	авральный
10	автодорожный
11	автор
12	авторемонтный
13	агитатор
14	агитационный
15	агитировать
16	аграрный
17	агропром
18	адаптационный
19	адаптивный
20	адаптироваться
21	административно-территориальный
22	административный
23	администрация
24	адресат
25	адресный
26	азимутальный
27	аккумулирование
28	аккуратно
29	актив
30	активизировать
31	активнее
32	активность
33	активный
34	активы
35	актуализировать
36	актуальнее
37	акционирование
38	акция
39	алиментный
40	амортизационный
41	амортизация
42	ампер
43	амплитуда
44	амплитудный
45	анализ
46	аналогичный
47	аннулировать
48	аномальный
49	аппарат
50	арбитражный
51	аренда
52	арендатор
53	арендный
54	арендодатель
55	арестованный
56	ассигновать
57	ассортиментный
58	атаковать
59	аттестационный
60	аукционный
61	багажный
62	базовый
63	баланс
64	балансовый
65	банкрот
66	баснословный
67	бег
68	бегун
69	беднее
70	бедность
71	бедный
72	бедственный
73	безвредный
74	безоглядно
75	безоговорочно
76	безопасный
77	безубыточный
78	береговой
79	беречь
80	беседовать
81	бесконечный
82	бесперебойный
83	бесплодный
84	беспокойство
85	бесполезный
86	беспрекословный
87	беспристрастность
88	бесспорный
89	бесценный
90	бизнесмен
91	билетный
92	бить
93	благой
94	благополучный
95	благоприятный
96	благоприятствовать
97	благородный
98	ближе
99	ближний
100	близкий
101	близость
102	блокировать
103	богатство
104	богатый
105	богаче
106	болеть
107	больной
108	больше
109	большее
110	большой
111	борец
112	бороться
113	бортовой
114	бракованный
115	брать
116	брачный
117	бригадный
118	брифинг
119	брокерский
120	бронирование
121	бросание
122	бросать
123	бросок
124	буквенный
125	бурно
126	бурный
127	быстро
128	быстродействующий
129	быстротечный
130	быстрый
131	бытовой
132	быть
133	бюджетный
134	в
135	важнее
136	важность
137	важный
138	вакансия
139	вакантный
140	валютный
141	вариант
142	вариантный
143	введение
144	ввод
145	вводить
146	ввозить
147	ввозной
148	ввязываться
149	ведомство
150	вежливо
151	век
152	велик
153	великий
154	величина
155	вера
156	вернуть
157	верный
158	вероятностный
159	вероятность
160	верующий
161	верховный
162	вес
163	веселье
164	весить
165	веский
166	весовой
167	весомый
168	вести
169	вестись
170	весьма
171	вечный
172	вешалка
173	вещание
174	взаимодействовать
175	взаимоотношение
176	взвешенный
177	взвешивание
178	взимать
179	взрослее
180	взрослеть
181	взыскивать
182	взять
183	вид
184	видение
185	видоизменять
186	видоизменяться
187	визировать
188	визовый
189	вина
190	виновник
191	виновный
192	виртуоз
193	вклад
194	вкладчик
195	вкладывать
196	включать
197	включение
198	вкратце
199	владелец
200	владеть
201	влиять
202	вмешиваться
203	вмещать
204	вне
205	внедрять
206	внезапный
207	внешний
208	внимательно
209	внимательный
210	вновь
211	вносить
212	внутренний
213	внутри
214	внушать
215	внушительный
216	вовлекать
217	вовлечение
218	водный
219	военный
220	возбуждать
221	возводить
222	возвратность
223	возвращать
224	возвращаться
225	возвращение
226	воздвигать
227	воздействие
228	воздействовать
229	возделывать
230	воздух
231	возлагать
232	возложить
233	возмещать
234	возможность
235	вознаградить
236	возникать
237	возникновение
238	возобновлять
239	возраст
240	возрастание
241	возрастать
242	возрастной
243	возрождать
244	войти
245	воображение
246	вооружать
247	вопроизводить
248	вопрос
249	воспользоваться
250	воспроизводить
251	воспроизводиться
252	восстанавливать
253	восстанавливаться
254	восстановление
255	восхищаться
256	впервые
257	вплотную
258	вполне
259	враг
260	врач
261	вред
262	вреднее
263	вредность
264	вредный
265	временный
266	время
267	вручать
268	всегдашний
269	вселять
270	всемирно
271	всемирный
272	всенародный
273	всеобщий
274	всеобъемлющий
275	всесторонне
276	всесторонний
277	всецело
278	вскрытие
279	вставать
280	встреча
281	встречать
282	встречаться
283	вступать
284	вступить
285	всякий
286	вторично
287	вторичный
288	второстепенный
289	входить
290	вхождение
291	вчера
292	въездной
293	вы
294	выбирать
295	выборный
296	выборочный
297	выборы
298	выбрасывать
299	вывести
300	выводить
301	вывозить
302	вывозной
303	выгода
304	выгодно
305	выгодный
306	выдавать
307	выдать
308	выдающийся
309	выдвигать
310	выделять
311	выдерживать
312	выжать
313	выживать
314	вызвать
